failed_attempts_1min,passwords_tried_count,geo_distance_km,os_is_usual,accounts_same_ip,activity_burst_seconds,is_attack
2,1,7.342623075930278,0,0,1737.2441246780015,0
1,2,5.2744974021542905,1,1,650.9071473876432,0
4,3,379.00963103826115,1,1,2197.0372080143493,0
0,0,4.411606895237372,1,0,900.1086884825938,0
4,2,48.42206171279823,1,1,1601.0204667318453,0
1,0,65.7134616891565,1,0,3194.280354046234,0
1,0,18.23434817261065,1,2,2950.1333929617294,0
0,0,75.87645107791734,1,0,3264.9383133615297,0
0,0,92.07818227189412,1,1,3001.399528630864,0
2,2,19.673730922105463,1,1,2346.5884057979397,0
2,0,443.06731147828555,0,0,2312.7963673502577,0
0,1,100.46754254027469,1,1,2963.4235940254634,0
2,2,10.665842887548639,1,1,2368.9003763848846,0
2,0,123.94315098260907,1,1,667.1510556530102,0
1,1,53.27504838114611,1,3,547.5625450353303,0
0,0,22.373247917388213,1,1,3112.5528576180127,0
1,1,7.551348067124351,1,2,3432.5817886610894,0
2,2,142.64161792185018,1,1,2603.3901480386303,0
1,1,186.19411948075023,1,1,3593.42996203553,0
2,0,5.1242866551151,0,1,1823.7960692576637,0
1,2,1.2497037025320905,1,1,533.5783454876956,0
2,2,140.1894775402621,1,1,951.1562418525714,0
0,1,58.162877200863804,1,0,2559.0388615957872,0
0,0,297.67696767507505,1,2,442.00527431836883,0
8,14,802.9207518230993,0,4,93.04753177459403,1
0,1,39.77329225840675,1,3,907.0383372199387,0
4,15,576.2437674365261,0,6,83.6822662159533,1
1,1,84.20746471944582,1,2,464.1500247233695,0
3,15,231.18397490301808,0,6,94.46057942372029,1
1,2,64.11875515472266,1,1,2593.759899600925,0
1,2,424.36655594739426,1,2,1020.8348564761154,0
0,1,0.32550822824249154,0,0,2523.9666965223223,0
9,16,954.5656212855164,0,7,113.98350119751107,1
7,12,216.74526398079254,0,7,96.83729871506024,1
1,2,13.982478817849348,1,2,3314.9318313874005,0
0,2,55.088978556579555,1,3,1201.9170055693503,0
0,3,219.67606546369868,1,2,1116.702225187444,0
7,10,751.9148944797026,0,2,112.34102457432152,1
7,12,1023.5974547712425,0,3,43.16590766569539,1
2,0,0.406399668364701,1,0,3301.3933701618585,0
1,0,66.76464829989452,1,1,2571.703358783263,0
9,10,128.3956219315295,0,10,60.633980930615344,1
1,1,91.6017695918433,1,0,750.1480418080105,0
1,1,131.35494345191444,1,1,3432.9273813398054,0
1,1,9.220339059117093,1,3,408.74894205262285,0
4,2,30.40461628353782,1,1,55.15486751508349,0
0,2,42.12647133533876,1,1,2294.5340020208328,0
6,10,2194.1891506162724,0,11,170.57931708758096,1
0,2,305.6946215881587,1,0,1645.903910861373,0
0,1,57.70804876697678,0,1,1656.6201404364351,0
6,9,579.5466157666311,1,5,55.45799243490937,1
7,8,131.369645770672,1,10,174.758240525264,1
1,1,32.27537978290614,1,3,3135.2943757881962,0
1,1,89.72022154130032,0,0,424.2552000905902,0
1,0,121.85872026276739,1,0,1306.6844180151238,0
0,0,100.7405382741394,1,0,3526.930972708828,0
2,1,16.785961594328956,1,0,432.1164217460155,0
2,1,34.341950519321706,1,1,2910.1740344286827,0
0,1,65.49801850221003,1,1,799.9726060115945,0
0,0,7.654150444473672,1,3,559.5474943168954,0
1,0,11.055830500763136,1,0,2708.3139656538124,0
3,14,197.88871015785318,1,8,169.39927378647806,1
7,14,149.18551606889406,1,4,132.28052330919976,1
0,1,10.144378440013785,1,1,2310.819745630356,0
2,3,60.24699832708038,1,2,2042.91653083686,0
1,0,61.20011791406654,1,2,1881.0646010980056,0
2,1,244.97717335356415,1,1,3120.244782845389,0
2,1,20.64552366043096,1,0,1697.6519563205338,0
0,0,5.24415194935449,1,0,1290.4488635572118,0
2,10,269.7697687742686,0,5,123.18852332403058,1
0,1,50.448693315469384,1,1,632.8577761761782,0
0,0,80.26531384659086,1,2,2247.7908759374536,0
